configuration,search-result-threshold,concept-relevance-threshold,query-concept-threshold,simtype,query,fetched,relevant,relevant & fetched,precision,recall,f1-measure,r-precision
5c7ea259c556bb42803fa17e,0.75,0.25,0.5,tagged,location,238,20,20,0.08403361344537816,1.0,0.1550387596899225,0.2
5c7ea259c556bb42803fa17e,0.75,0.25,0.5,tagged,statistics,261,110,110,0.421455938697318,1.0,0.5929919137466307,0.5727272727272728
5c7ea259c556bb42803fa17e,0.75,0.25,0.5,tagged,bike,226,13,10,0.04424778761061947,0.7692307692307693,0.08368200836820085,0.0
5c7ea259c556bb42803fa17e,0.75,0.25,0.5,tagged,map,231,13,4,0.017316017316017316,0.3076923076923077,0.032786885245901634,0.0
5c7ea259c556bb42803fa17e,0.75,0.25,0.75,tagged,location,231,20,20,0.08658008658008658,1.0,0.1593625498007968,0.2
5c7ea259c556bb42803fa17e,0.75,0.25,0.75,tagged,statistics,239,110,110,0.4602510460251046,1.0,0.6303724928366762,0.7
5c7ea259c556bb42803fa17e,0.75,0.25,0.75,tagged,bike,232,13,10,0.04310344827586207,0.7692307692307693,0.0816326530612245,0.0
5c7ea259c556bb42803fa17e,0.75,0.25,0.75,tagged,map,159,13,4,0.025157232704402517,0.3076923076923077,0.046511627906976744,0.07692307692307693
5c7ea259c556bb42803fa17e,0.75,0.25,1.0,tagged,location,99,20,20,0.20202020202020202,1.0,0.33613445378151263,0.85
5c7ea259c556bb42803fa17e,0.75,0.25,1.0,tagged,statistics,239,110,110,0.4602510460251046,1.0,0.6303724928366762,0.7363636363636363
5c7ea259c556bb42803fa17e,0.75,0.25,1.0,tagged,bike,208,13,12,0.057692307692307696,0.9230769230769231,0.1085972850678733,0.15384615384615385
5c7ea259c556bb42803fa17e,0.75,0.25,1.0,tagged,map,182,13,11,0.06043956043956044,0.8461538461538461,0.11282051282051282,0.6923076923076923
5c7ea259c556bb42803fa17e,0.75,0.5,0.5,tagged,location,37,20,4,0.10810810810810811,0.2,0.14035087719298245,0.15
5c7ea259c556bb42803fa17e,0.75,0.5,0.5,tagged,statistics,115,110,79,0.6869565217391305,0.7181818181818181,0.7022222222222221,0.6818181818181818
5c7ea259c556bb42803fa17e,0.75,0.5,0.5,tagged,bike,12,13,1,0.08333333333333333,0.07692307692307693,0.08,0.07692307692307693
5c7ea259c556bb42803fa17e,0.75,0.5,0.5,tagged,map,7,13,0,0.0,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.5,0.75,tagged,location,19,20,3,0.15789473684210525,0.15,0.15384615384615385,0.15
5c7ea259c556bb42803fa17e,0.75,0.5,0.75,tagged,statistics,121,110,82,0.6776859504132231,0.7454545454545455,0.7099567099567099,0.6909090909090909
5c7ea259c556bb42803fa17e,0.75,0.5,0.75,tagged,bike,27,13,2,0.07407407407407407,0.15384615384615385,0.1,0.15384615384615385
5c7ea259c556bb42803fa17e,0.75,0.5,0.75,tagged,map,19,13,1,0.05263157894736842,0.07692307692307693,0.0625,0.07692307692307693
5c7ea259c556bb42803fa17e,0.75,0.5,1.0,tagged,location,20,20,17,0.85,0.85,0.85,0.85
5c7ea259c556bb42803fa17e,0.75,0.5,1.0,tagged,statistics,116,110,80,0.6896551724137931,0.7272727272727273,0.7079646017699116,0.6727272727272727
5c7ea259c556bb42803fa17e,0.75,0.5,1.0,tagged,bike,36,13,4,0.1111111111111111,0.3076923076923077,0.163265306122449,0.15384615384615385
5c7ea259c556bb42803fa17e,0.75,0.5,1.0,tagged,map,9,13,9,1.0,0.6923076923076923,0.8181818181818181,0.6923076923076923
5c7ea259c556bb42803fa17e,0.75,0.75,0.5,tagged,location,0,20,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.5,tagged,statistics,0,110,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.5,tagged,bike,0,13,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.5,tagged,map,0,13,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.75,tagged,location,0,20,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.75,tagged,statistics,0,110,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.75,tagged,bike,0,13,0,,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,0.75,tagged,map,9,13,9,1.0,0.6923076923076923,0.8181818181818181,0.6923076923076923
5c7ea259c556bb42803fa17e,0.75,0.75,1.0,tagged,location,9,20,9,1.0,0.45,0.6206896551724138,0.45
5c7ea259c556bb42803fa17e,0.75,0.75,1.0,tagged,statistics,8,110,8,1.0,0.07272727272727272,0.13559322033898305,0.07272727272727272
5c7ea259c556bb42803fa17e,0.75,0.75,1.0,tagged,bike,6,13,0,0.0,0.0,,0.0
5c7ea259c556bb42803fa17e,0.75,0.75,1.0,tagged,map,10,13,9,0.9,0.6923076923076923,0.7826086956521738,0.6923076923076923
